Départ,Arrivée,Distance (m)
Annecy,Montmélian,66850.406
Annecy,Pontcharra sur Bréda,75251.273
Annecy,Grenoble Universités - Gières,109834.914
Annecy,Grenoble,121301.516
Annecy,Moirans,139742.047
Annecy,Tullins Fures,147576.563
Annecy,Saint-Marcellin,171417.391
Annecy,Saint-Hilaire - Saint-Nazaire,182943.281
Annecy,Romans - Bourg-de-Péage,199804.125
Annecy,Valence TGV Rhône-Alpes Sud,208849.5
Annecy,Valence Ville,219356.984
Annecy,Livron,236809.109
Annecy,Montélimar,263824.531
Annecy,Pierrelatte,285332.844
Annecy,Bollène la Croisière,296924.25
Annecy,Orange,315816.688
Annecy,Avignon Centre,343952.625
Grenoble,Grenoble Universités - Gières,7427.974
Grenoble,Pontcharra sur Bréda,49526.121
Grenoble,Montmélian,64913.66
Grenoble,Chambéry - Challes-les-Eaux,79008.18
Grenoble,Aix-les-Bains le Revard,75052.398
Grenoble,Grésy-sur-Aix,86022.961
Grenoble,Albens,93856.898
Grenoble,Rumilly,102725.109
Grenoble,Annecy,105412.0
Aix-les-Bains le Revard,Grésy-sur-Aix,4311.936
Aix-les-Bains le Revard,Albens,12145.898
Aix-les-Bains le Revard,Rumilly,21014.105
Aix-les-Bains le Revard,Annecy,39578.121
Valence Ville,Valence TGV Rhône-Alpes Sud,10509.328
Valence Ville,Romans - Bourg-de-Péage,19557.887
Valence Ville,Saint-Hilaire - Saint-Nazaire,36415.559
Valence Ville,Saint-Marcellin,47937.113
Valence Ville,Tullins Fures,71775.578
Valence Ville,Moirans,79616.352
Valence Ville,Grenoble,98059.047
Valence Ville,Grenoble Universités - Gières,109514.781
Valence Ville,Pontcharra sur Bréda,144096.891
Valence Ville,Montmélian,152520.063
Valence Ville,Chambéry - Challes-les-Eaux,165764.266
Valence Ville,Aix-les-Bains le Revard,179767.047
Valence Ville,Grésy-sur-Aix,184079.703
Valence Ville,Albens,191913.063
Valence Ville,Rumilly,200781.656
Valence Ville,Annecy,219343.453
Saint-Marcellin,Tullins Fures,23838.459
Saint-Marcellin,Moirans,31679.236
Saint-Marcellin,Grenoble,50121.941
Saint-Marcellin,Grenoble Universités - Gières,61577.746
Saint-Marcellin,Pontcharra sur Bréda,96159.883
Saint-Marcellin,Montmélian,104583.023
Saint-Marcellin,Chambéry - Challes-les-Eaux,117827.18
Saint-Marcellin,Aix-les-Bains le Revard,131833.141
Saint-Marcellin,Grésy-sur-Aix,136145.078
Saint-Marcellin,Albens,143979.031
Saint-Marcellin,Rumilly,152847.281
Saint-Marcellin,Annecy,171411.391
Grenoble,Voiron,25326.6
Grenoble,La Tour-du-Pin,59058.035
Grenoble,Bourgoin-Jallieu,74287.547
Grenoble,La Verpillière,88589.586
Grenoble,Lyon Part Dieu,131343.531
Lyon Part Dieu,La Verpillière,31172.984
Lyon Part Dieu,Bourgoin-Jallieu,42388.641
Lyon Part Dieu,La Tour-du-Pin,57403.195
Lyon Part Dieu,Voiron,105932.813
Lyon Part Dieu,Grenoble,131277.266
Grenoble,Lyon Perrache,130799.258
Lyon Perrache,La Verpillière,30651.869
Lyon Perrache,Bourgoin-Jallieu,41867.527
Lyon Perrache,La Tour-du-Pin,56882.082
Lyon Perrache,Voiron,105411.695
Lyon Perrache,Grenoble,130756.148
Marseille Saint-Charles,Vitrolles Aéroport Marseille P,21852.564
Marseille Saint-Charles,Miramas,52587.754
Marseille Saint-Charles,Saint-Martin-de-Crau,69383.664
Marseille Saint-Charles,Arles,85482.789
Marseille Saint-Charles,Avignon Centre,120161.789
Marseille Saint-Charles,Orange,148288.719
Marseille Saint-Charles,Bollène la Croisière,167184.5
Marseille Saint-Charles,Pierrelatte,178777.516
Marseille Saint-Charles,Montélimar,200285.969
Marseille Saint-Charles,Valence Ville,244729.25
Marseille Saint-Charles,Saint-Rambert-d'Albon,302395.5
Marseille Saint-Charles,Le Péage-de-Roussillon,310714.75
Marseille Saint-Charles,Saint-Clair - Les Roches,319935.906
Marseille Saint-Charles,Vienne,331749.563
Marseille Saint-Charles,Lyon Part Dieu,363955.563
Marseille Saint-Charles,Saint-Vallier sur Rhône,289482.563
Marseille Saint-Charles,Lyon Perrache,351019.219
Lyon Part Dieu,Vienne,32210.762
Lyon Part Dieu,Saint-Clair - Les Roches,44022.699
Lyon Part Dieu,Le Péage-de-Roussillon,53241.848
Lyon Part Dieu,Saint-Rambert-d'Albon,61559.719
Lyon Part Dieu,Tain-l'Hermitage - Tournon,88763.305
Lyon Part Dieu,Valence Ville,106820.914
Lyon Part Dieu,Montélimar,151289.563
Lyon Part Dieu,Pierrelatte,172797.719
Lyon Part Dieu,Bollène la Croisière,184389.078
Lyon Part Dieu,Orange,203281.563
Lyon Part Dieu,Avignon Centre,231417.578
Lyon Part Dieu,Arles,265966.125
Lyon Part Dieu,Saint-Martin-de-Crau,282102.469
Lyon Part Dieu,Miramas,298834.5
Lyon Part Dieu,Vitrolles Aéroport Marseille P,329576.406
Lyon Part Dieu,Marseille Saint-Charles,351486.906
Lyon Part Dieu,Saint-Vallier sur Rhône,74474.18
Lyon Perrache,Avignon Centre,230896.438
Lyon Perrache,Arles,265444.594
Lyon Perrache,Saint-Martin-de-Crau,281580.938
Lyon Perrache,Miramas,298312.969
Lyon Perrache,Vitrolles Aéroport Marseille P,329054.875
Lyon Perrache,Marseille Saint-Charles,350965.375
Marseille Saint-Charles,Tain-l'Hermitage - Tournon,275187.969
Lyon Perrache,Vienne,31689.662
Lyon Perrache,Saint-Clair - Les Roches,43501.582
Lyon Perrache,Le Péage-de-Roussillon,52720.73
