Départ,Arrivée,Distance (m)
Amiens,TGV Haute Picardie,40851.277
Saint-Quentin,TGV Haute Picardie,41389.25
TGV Haute Picardie,Amiens,40739.551
TGV Haute Picardie,Saint-Quentin,42546.789
Vernon - Giverny,Oissel,45781.793
Vernon - Giverny,Rouen Rive Droite,59450.586
Val-de-Reuil,Mantes-la-Jolie,54310.539
Caen,Serquigny,89933.844
Lisieux,Serquigny,41064.531
Bernay,Serquigny,9919.112
Rouen Rive Droite,Trouville - Deauville,142281.266
Dreux,Paris Montparnasse Vaugirard,80620.555
Paris Montparnasse Vaugirard,Dreux,80630.766
Lugny,Marle sur Serre,4916.538
Verneuil-sur-Serre,Barenton-Cel,1188.013
Barenton-sur-Serre,Verneuil-sur-Serre,2761.16
Verneuil-sur-Serre,Barenton-sur-Serre,2752.241
Marle sur Serre,Lugny,4851.365
Barenton-Cel,Verneuil-sur-Serre,1189.39
Strasbourg,Berg (Pfalz),58174.961
Strasbourg,Neuburg (Rhein),60416.816
Strasbourg,Hagenbach,63291.164
Strasbourg,Maximiliansau Im Ruesten,66162.406
Strasbourg,Woerth (Rhein),67441.836
Woerth (Rhein),Maximiliansau Im Ruesten,1279.432
Woerth (Rhein),Hagenbach,4150.67
Woerth (Rhein),Neuburg (Rhein),7025.019
Woerth (Rhein),Berg (Pfalz),9266.872
Woerth (Rhein),Lauterbourg,11941.177
Woerth (Rhein),Seltz,22227.09
Woerth (Rhein),Roeschwoog,31107.293
Woerth (Rhein),Drusenheim,40798.871
Woerth (Rhein),Herrlisheim,45903.723
Woerth (Rhein),Gambsheim,50211.699
Woerth (Rhein),La Wantzenau,55415.176
Woerth (Rhein),Hoenheim Tram,61827.422
Woerth (Rhein),Strasbourg,67447.063
Roeschwoog,Drusenheim,9691.574
Roeschwoog,Herrlisheim,14796.432
Roeschwoog,Gambsheim,19104.402
Roeschwoog,La Wantzenau,24307.887
Roeschwoog,Hoenheim Tram,30720.133
Roeschwoog,Strasbourg,36339.773
Woerth (Rhein),Mothern,15890.766
Woerth (Rhein),Munchhausen,17845.189
Woerth (Rhein),Roppenheim,28004.01
Woerth (Rhein),Rountzenheim,33091.723
Woerth (Rhein),Sessenheim,36239.207
Woerth (Rhein),Kilstett,52683.156
Woerth (Rhein),Bischheim,64048.102
Roeschwoog,Rountzenheim,1984.427
Roeschwoog,Sessenheim,5131.912
Roeschwoog,Kilstett,21575.867
Roeschwoog,Bischheim,32940.813
Douarnenez Tréboul,Douarnenez Office de Tourisme,1876.215
Douarnenez Tréboul,Quimper,25712.166
Quimper,Douarnenez Office de Tourisme,23677.098
Quimper,Douarnenez Tréboul,25513.869
Douarnenez Office de Tourisme,Quimper,23835.949
Concarneau Port,Concarneau,483.687
Concarneau Port,Quimper,22624.91
Quimper,Concarneau,21688.977
Quimper,Concarneau Port,22206.883
Zoo de Beauval,Saint-Aignan - Noyers,6256.332
Zoo de Beauval,Blois - Chambord,47451.184
Blois - Chambord,Saint-Aignan - Noyers,38926.918
Blois - Chambord,Zoo de Beauval,45133.5
Domaine de Chaumont-sur-Loire,Onzain - Chaumont-sur-Loire,2580.495
Onzain - Chaumont-sur-Loire,Domaine de Chaumont-sur-Loire,2602.15
Strasbourg,Stephansfeld,15466.005
Strasbourg,Brumath,17166.539
Strasbourg,Schwindratzheim,25364.721
Strasbourg,Wilwisheim,32339.494
Strasbourg,Steinbourg,39447.664
Saverne,Steinbourg,4542.455
Saverne,Wilwisheim,11650.538
Saverne,Schwindratzheim,18625.477
Saverne,Brumath,26817.746
Saverne,Stephansfeld,28517.982
Sarrebourg,Steinbourg,30724.721
Sarrebourg,Dettwiller,34626.539
Sarrebourg,Wilwisheim,37832.809
Sarrebourg,Hochfelden,42704.836
Sarrebourg,Schwindratzheim,44807.742
Sarrebourg,Mommenheim,47873.668
Sarrebourg,Brumath,53000.012
Sarrebourg,Stephansfeld,54700.258
Sarrebourg,Strasbourg,70163.188
Saverne,Vendenheim,34366.277
Strasbourg,Vendenheim,9591.984
Strasbourg,Sarrebourg,70181.461
Strasbourg,Lutzelbourg,54011.125
Strasbourg,Réding,66692.219
Krimmeri Meinau,Strasbourg,3274.644
Strasbourg,Morhange,114225.633
Strasbourg,Metz,159414.578
Metz,Morhange,45195.75
Metz,Réding,91719.398
Metz,Lutzelbourg,104397.641
Metz,Saverne,114415.852
Metz,Brumath,141233.531
Metz,Strasbourg,158396.734
Metz,Dettwiller,117991.336
Metz,Hochfelden,126069.648
Metz,Sarrebourg,83364.828
Metz,Peltre,6478.274
Metz,Courcelles-sur-Nied,13419.004
Metz,Sanry-sur-Nied,16519.365
Strasbourg,Rémilly,137217.516
Metz,Bénestroff,52960.844
Metz,Berthelming Mairie,74114.156
Mulhouse,Illfurth,9672.155
Belfort-Ville,Walheim,34684.816
Belfort-Ville,Illfurth,38592.094
Belfort-Ville,Zillisheim,41473.266
Belfort-Ville,Flaxlanden,42392.422
Mulhouse,Zillisheim,6794.127
Mulhouse,Petit-Croix,36588.332
Mulhouse,Flaxlanden,5872.502
Mulhouse,Walheim,13577.451
Strasbourg,Mundolsheim,7235.047
Strasbourg,Hoerdt,16796.828
Strasbourg,Weyersheim,18982.248
Strasbourg,Kurtzenhouse,21904.635
Haguenau,Kurtzenhouse,12035.139
Haguenau,Weyersheim,14958.352
Haguenau,Hoerdt,17140.371
Haguenau,Vendenheim,24357.525
Haguenau,Mundolsheim,27187.965
Strasbourg,Walbourg,42328.813
Strasbourg,Hoelschloch-Surbourg,46226.117
Strasbourg,Soultz-sous-Forêts,50681.766
Strasbourg,Hoffen,54422.328
Strasbourg,Riedseltz,61975.367
Strasbourg,Wissembourg,67291.797
Wissembourg,Riedseltz,5316.425
Wissembourg,Hoffen,12869.483
Wissembourg,Hoelschloch-Surbourg,21065.68
Wissembourg,Walbourg,24963.0
Wissembourg,Bischwiller,40898.371
Wissembourg,Strasbourg,67769.711
Wissembourg,Hunspach,8741.771
Wissembourg,Marienthal,38163.402
Wissembourg,Kurtzenhouse,45384.293
Wissembourg,Weyersheim,48307.504
Wissembourg,Hoerdt,50489.535
Wissembourg,Vendenheim,57706.664
Wissembourg,Mundolsheim,60537.125
Strasbourg,Hunspach,58550.035
Strasbourg,Bischheim,3399.234
Lauterbourg,Bischheim,52106.926
Strasbourg,Strasbourg Roethig,3987.741
Strasbourg,Lingolsheim,5192.763
Molsheim,Dachstein,2539.423
Molsheim,Duttlenheim,5027.938
Molsheim,Duppigheim,6610.567
Molsheim,Lingolsheim,13669.219
Molsheim,Strasbourg Roethig,15044.23
Strasbourg,Oermingen,79898.039
Strasbourg,Kalhausen Gare,83867.398
Strasbourg,Sarreguemines,96759.383
Sarreguemines,Krimmeri Meinau,100873.531
Sélestat,Ebersheim,6835.485
Sélestat,Kogenheim,11248.593
Sélestat,Matzenheim,20369.893
Sélestat,Limersheim,28032.039
Sélestat,Geispolsheim,34669.145
Sélestat,Graffenstaden,36207.43
Strasbourg,Geispolsheim,8573.732
Strasbourg,Limersheim,15211.421
Strasbourg,Graffenstaden,7035.447
Strasbourg,Matzenheim,22874.104
Strasbourg,Kogenheim,31995.404
Strasbourg,Ebersheim,36408.508
Colmar,Sélestat,22475.207
Colmar,Ebersheim,29310.688
Colmar,Kogenheim,33723.793
Colmar,Benfeld,39011.75
Colmar,Matzenheim,42845.09
Colmar,Erstein,45932.039
Colmar,Limersheim,50507.23
Colmar,Fegersheim - Lipsheim,53884.797
Colmar,Geispolsheim,57144.336
Colmar,Graffenstaden,58682.621
Colmar,Strasbourg,65718.32
Strasbourg,Colmar,65719.219
Mulhouse,Mulhouse Dornach,3172.616
Mulhouse,Staffelfelden,14101.802
Mulhouse,Bollwiller,17336.916
Mulhouse,Raedersheim,20983.342
Mulhouse,Merxheim,24239.979
Mulhouse,Rouffach,29560.061
Mulhouse,Herrlisheim-près-Colmar,35868.695
Mulhouse,Colmar,42672.008
Colmar,Bollwiller,25214.547
Colmar,Staffelfelden,28451.453
Colmar,Mulhouse Dornach,39384.816
Metzeral,Muhlbach-sur-Munster,1690.9
Metzeral,Breitenbach,3029.618
Metzeral,Luttenbach-près-Munster,4374.614
Metzeral,Munster Badischhof,7001.2
Metzeral,Gunsbach - Griesbach,8683.247
Metzeral,Wihr-au-Val - Soultzbach,11393.378
Metzeral,Turckheim,18256.531
Metzeral,Logelbach,21425.08
Metzeral,Colmar Saint-Joseph,23309.746
Colmar,Turckheim,6117.076
Colmar,Luttenbach-près-Munster,19998.984
Colmar,Breitenbach,21343.984
Colmar,Muhlbach-sur-Munster,22682.705
Colmar,Colmar Saint-Joseph,1063.861
Colmar,Logelbach,2948.524
Colmar,Walbach - La Forge,10767.812
Colmar,Wihr-au-Val - Soultzbach,12980.225
Colmar,Gunsbach - Griesbach,15690.355
Colmar,Munster Badischhof,17372.406
Metzeral,Walbach - La Forge,13605.791
Metzeral,Saint-Gilles Lycée Haut-Rhin,16487.943
Metzeral,Colmar Mésanges,22367.258
Metzeral,Ingersheim Cité Scolaire,19690.436
Colmar,Ingersheim Cité Scolaire,4683.169
Munster,Wihr-au-Val - Soultzbach,5801.524
Munster,Saint-Gilles Lycée Haut-Rhin,10896.09
Munster,Turckheim,12664.679
Munster,Ingersheim Cité Scolaire,14098.586
Munster,Logelbach,15833.232
Munster,Colmar Saint-Joseph,17717.898
Munster,Munster Badischhof,1409.346
Munster,Gunsbach - Griesbach,3091.393
Munster,Walbach - La Forge,8013.937
Munster,Colmar Mésanges,16775.41
Barr,Obernai,7287.302
Barr,Entzheim Aéroport,25805.316
Barr,Strasbourg,34949.012
Strasbourg,Obernai,27962.359
Sélestat,Barr,17454.531
Sélestat,Gertwiller,18894.465
Sélestat,Goxwiller,21384.254
Sélestat,Obernai,24741.852
Sélestat,Bischoffsheim,27717.533
Sélestat,Rosheim,29809.611
Sélestat,Dorlisheim,32020.764
Sélestat,Molsheim,33538.594
Sélestat,Entzheim Aéroport,43259.875
Strasbourg,Eichhoffen,37795.098
Strasbourg,Epfig,40174.172
Strasbourg,Dambach-la-Ville,45252.758
Strasbourg,Scherwiller,49238.055
Sélestat,Scherwiller,3466.146
Sélestat,Dambach-la-Ville,7451.433
Sélestat,Epfig,12529.995
Sélestat,Eichhoffen,14909.089
Sélestat,Dachstein,36078.008
Sélestat,Duttlenheim,38566.523
Sélestat,Duppigheim,40149.156
Sélestat,Lingolsheim,47207.832
Sélestat,Strasbourg Roethig,48582.84
Barr,Dachstein,18623.484
Barr,Duttlenheim,21112.002
Barr,Duppigheim,22694.631
Barr,Lingolsheim,29753.275
Barr,Strasbourg Roethig,31128.295
Obernai,Bischoffsheim,2975.682
Obernai,Rosheim,5067.758
Obernai,Dorlisheim,7278.91
Obernai,Molsheim,8796.748
Obernai,Entzheim Aéroport,18518.008
Obernai,Strasbourg,27661.703
Rothau,Wisches,7686.239
Rothau,Lutzelhouse,9840.807
Rothau,Gresswiller,20168.637
Rothau,Mutzig,23057.576
Rothau,Dachstein,28540.518
Rothau,Duttlenheim,31029.035
Rothau,Duppigheim,32611.664
Rothau,Entzheim Aéroport,35722.367
Rothau,Lingolsheim,39670.324
Rothau,Strasbourg Roethig,41045.332
Rothau,Strasbourg,44866.039
Strasbourg,Mutzig,21800.775
Strasbourg,Gresswiller,24689.648
Strasbourg,Lutzelhouse,35014.969
Strasbourg,Wisches,37171.09
Strasbourg,Fouday,49601.629
Strasbourg,Bourg-Bruche,58417.961
Strasbourg,Provenchères-sur-Fave,72940.195
Strasbourg,Saint-Dié-des-Vosges,86419.414
Strasbourg,Bruyères,116027.156
Strasbourg,Arches Gare,135500.234
Strasbourg,Épinal,147019.578
Saales,Saint-Blaise-la-Roche,9282.54
Saales,Fouday,11963.878
Saales,Rothau,16709.818
Saales,Schirmeck - La Broque,19199.137
Saales,Russ-Hersbach,22676.545
Saales,Wisches,24396.064
Saales,Lutzelhouse,26550.635
Saales,Urmatt,30060.418
Saales,Gresswiller,36878.441
Saales,Mutzig,39767.375
Saales,Molsheim,42710.891
Saales,Entzheim Aéroport,52432.172
Saales,Strasbourg,61575.844
Saales,Saint-Dié-des-Vosges,24856.824
Rothau,Heiligenberg - Mollkirch,16795.656
Saint-Dié-des-Vosges,Saales,24856.828
Saint-Dié-des-Vosges,Bourg-Bruche,28004.346
Saint-Dié-des-Vosges,Saint-Blaise-la-Roche,34139.359
Saint-Dié-des-Vosges,Fouday,36820.707
Saint-Dié-des-Vosges,Rothau,41566.605
Saint-Dié-des-Vosges,Schirmeck - La Broque,44055.945
Saint-Dié-des-Vosges,Russ-Hersbach,47533.344
Saint-Dié-des-Vosges,Wisches,49252.863
Saint-Dié-des-Vosges,Lutzelhouse,51407.438
Saint-Dié-des-Vosges,Urmatt,54917.207
Saint-Dié-des-Vosges,Heiligenberg - Mollkirch,58362.27
Saint-Dié-des-Vosges,Gresswiller,61735.207
Saint-Dié-des-Vosges,Mutzig,64624.141
Saint-Dié-des-Vosges,Molsheim,67567.641
Saint-Dié-des-Vosges,Entzheim Aéroport,77288.898
Saint-Dié-des-Vosges,Strasbourg,86432.609
Saales,Bourg-Bruche,3147.522
Saales,Mullerhof,28049.572
Saales,Heiligenberg - Mollkirch,33505.469
Strasbourg,Mullerhof,33517.355
Épinal,Saales,85295.57
Épinal,Saint-Blaise-la-Roche,94578.102
Épinal,Rothau,102005.375
Épinal,Schirmeck - La Broque,104494.688
Épinal,Russ-Hersbach,107972.094
Épinal,Wisches,109691.602
Épinal,Lutzelhouse,111846.18
Épinal,Urmatt,115355.938
Épinal,Gresswiller,122173.945
Épinal,Mutzig,125062.883
Épinal,Molsheim,128006.344
Épinal,Entzheim Aéroport,137727.641
Épinal,Strasbourg,146871.25
Saint-Dié-des-Vosges,Mullerhof,52906.371
Rothau,Mullerhof,11339.744
Saint-Dié-des-Vosges,Provenchères-sur-Fave,13482.104
Épinal,Provenchères-sur-Fave,73920.828
Épinal,Bourg-Bruche,88443.094
Épinal,Fouday,97259.445
Saint-Dié-des-Vosges,Lingolsheim,81236.859
Saint-Dié-des-Vosges,Strasbourg Roethig,82611.906
Saales,Dachstein,45250.32
Saales,Duttlenheim,47738.836
Saales,Duppigheim,49321.469
Saales,Lingolsheim,56380.129
Saales,Strasbourg Roethig,57755.137
Épinal,Lingolsheim,141675.609
Épinal,Mullerhof,113345.117
Épinal,Heiligenberg - Mollkirch,118801.008
Mulhouse,Sélestat,65147.227
Mulhouse,Benfeld,81683.789
Mulhouse,Erstein,88604.094
Mulhouse,Strasbourg,108390.391
Strasbourg,Rouffach,78831.141
Strasbourg,Bollwiller,91054.313
Strasbourg,Mulhouse Dornach,105224.594
Strasbourg,Mulhouse,108391.273
Strasbourg,Merxheim,84224.266
Strasbourg,Raedersheim,87405.141
Strasbourg,Staffelfelden,94288.938
Lutterbach Tram-train,Mulhouse Musées,1816.236
Lutterbach Tram-train,Mulhouse Dornach Tram Train,2625.233
Lutterbach Tram-train,Zu Rhein,3428.34
Lutterbach Tram-train,Daguerre,4333.879
Lutterbach Tram-train,Mulhouse Tour Nessel,4761.432
Lutterbach Tram-train,Mulhouse Porte Haute,5061.283
Lutterbach Tram-train,Mulhouse Mairie,5501.392
Lutterbach Tram-train,Porte Jeune,5866.724
Lutterbach Tram-train,Mulhouse République,6380.696
Lutterbach Tram-train,Mulhouse Gare Centrale,6927.259
Mulhouse Gare Centrale,Mulhouse République,413.446
Mulhouse Gare Centrale,Porte Jeune,959.923
Mulhouse Gare Centrale,Mulhouse Mairie,1304.579
Mulhouse Gare Centrale,Mulhouse Porte Haute,1740.87
Mulhouse Gare Centrale,Mulhouse Tour Nessel,2039.763
Mulhouse Gare Centrale,Daguerre,2471.998
Mulhouse Gare Centrale,Zu Rhein,3409.229
Mulhouse Gare Centrale,Mulhouse Dornach Tram Train,4172.681
Mulhouse Gare Centrale,Mulhouse Musées,4980.802
Mulhouse Gare Centrale,Lutterbach Tram-train,6797.037
Mulhouse Gare Centrale,Vieux-Thann Zone Industrielle,19076.717
Mulhouse Gare Centrale,Vieux-Thann,20147.791
Mulhouse Gare Centrale,Thann Centre,21638.453
Thann Saint-Jacques,Thann Centre,678.333
Thann Saint-Jacques,Thann,1145.561
Thann Saint-Jacques,Vieux-Thann,2168.995
Thann Saint-Jacques,Vieux-Thann Zone Industrielle,3240.067
Thann Saint-Jacques,Lutterbach Tram-train,15519.752
Thann Saint-Jacques,Mulhouse Musées,17335.984
Thann Saint-Jacques,Mulhouse Dornach Tram Train,18144.982
Thann Saint-Jacques,Zu Rhein,18948.09
Thann Saint-Jacques,Daguerre,19853.631
Thann Saint-Jacques,Mulhouse Tour Nessel,20281.182
Thann Saint-Jacques,Mulhouse Porte Haute,20581.033
Thann Saint-Jacques,Mulhouse Mairie,21021.139
Thann Saint-Jacques,Porte Jeune,21386.471
Thann Saint-Jacques,Mulhouse République,21900.443
Thann,Vieux-Thann,1023.433
Thann,Vieux-Thann Zone Industrielle,2094.506
Thann,Cernay,5224.792
Thann,Graffenwald,9717.65
Thann,Lutterbach Tram-train,14374.189
Thann,Mulhouse Musées,16190.425
Thann,Mulhouse Dornach Tram Train,16999.422
Thann,Zu Rhein,17802.529
Thann,Daguerre,18708.07
Thann,Mulhouse Tour Nessel,19135.621
Thann,Mulhouse Porte Haute,19435.473
Thann,Mulhouse Mairie,19875.578
Thann,Porte Jeune,20240.91
Thann,Mulhouse République,20754.883
Thann,Mulhouse Gare Centrale,21301.449
Thann Saint-Jacques,Willer-sur-Thur,3990.384
Thann Saint-Jacques,Moosch,6466.126
Thann Saint-Jacques,Saint-Amarin,8623.279
Thann Saint-Jacques,Wesserling,11723.996
Thann Saint-Jacques,Kruth,16490.705
Kruth,Oderen,1437.577
Kruth,Fellering,3600.934
Kruth,Ranspach,6287.991
Kruth,Saint-Amarin,7870.873
Kruth,Moosch,10028.027
Kruth,Willer-sur-Thur,12503.769
Kruth,Bitschwiller-lès-Thann,14385.242
Mulhouse,Graffenwald,10478.093
Mulhouse,Vieux-Thann Zone Industrielle,18099.713
Mulhouse,Vieux-Thann,19170.924
Mulhouse,Thann Centre,20661.635
Mulhouse,Bitschwiller-lès-Thann,23448.879
Mulhouse,Willer-sur-Thur,25330.352
Kruth,Thann Centre,17172.488
Kruth,Thann,17640.08
Kruth,Vieux-Thann,18663.199
Kruth,Vieux-Thann Zone Industrielle,19734.41
Kruth,Mulhouse Dornach,34661.492
Mulhouse,Moosch,27806.09
Mulhouse,Saint-Amarin,29963.242
Mulhouse,Ranspach,31546.125
Mulhouse,Fellering,34233.184
Mulhouse,Oderen,36396.531
Thann,Thann Centre,467.219
Thann,Bitschwiller-lès-Thann,3254.464
Thann,Willer-sur-Thur,5135.938
Thann,Moosch,7611.68
Thann,Saint-Amarin,9768.833
Willer-sur-Thur,Bitschwiller-lès-Thann,1881.474
Willer-sur-Thur,Thann Saint-Jacques,3990.385
Willer-sur-Thur,Thann Centre,4668.718
Willer-sur-Thur,Thann,5136.312
Willer-sur-Thur,Vieux-Thann,6159.432
Willer-sur-Thur,Vieux-Thann Zone Industrielle,7230.641
Willer-sur-Thur,Cernay,10360.121
Willer-sur-Thur,Mulhouse Dornach,22157.738
Willer-sur-Thur,Mulhouse,25330.361
Wesserling,Ranspach,1517.834
Wesserling,Saint-Amarin,3100.715
Wesserling,Moosch,5257.868
Wesserling,Willer-sur-Thur,7733.61
Wesserling,Bitschwiller-lès-Thann,9615.084
Wesserling,Thann Saint-Jacques,11723.997
Wesserling,Thann Centre,12402.328
Wesserling,Thann,12869.921
Wesserling,Vieux-Thann,13893.04
Wesserling,Vieux-Thann Zone Industrielle,14964.247
Wesserling,Cernay,18093.725
Wesserling,Mulhouse Dornach,29891.346
Wesserling,Mulhouse,33063.965
Thann,Ranspach,11351.714
Thann,Fellering,14038.772
Thann,Oderen,16202.128
Thann Saint-Jacques,Bitschwiller-lès-Thann,2108.911
Thann Saint-Jacques,Ranspach,10206.16
Thann Saint-Jacques,Fellering,12893.219
Thann Saint-Jacques,Oderen,15056.574
Wesserling,Graffenwald,22585.869
Wesserling,Lutterbach,27232.451
Niederbronn-les-Bains,Bischwiller,29006.447
Niederbronn-les-Bains,Strasbourg,55877.82
Strasbourg,Schweighouse-sur-Moder,37724.07
Strasbourg,Mertzwiller,44773.844
Strasbourg,Gundershoffen,49132.555
Strasbourg,Reichshoffen,52232.957
Strasbourg,Niederbronn-les-Bains,55400.172
Niederbronn-les-Bains,Marienthal,26271.469
Niederbronn-les-Bains,Kurtzenhouse,33492.355
Niederbronn-les-Bains,Weyersheim,36415.566
Niederbronn-les-Bains,Hoerdt,38597.598
Niederbronn-les-Bains,Vendenheim,45814.746
Niederbronn-les-Bains,Mundolsheim,48645.188
Conflans - Jarny,Onville,24742.717
Conflans - Jarny,Pont-à-Mousson,41898.289
Conflans - Jarny,Nancy,69741.914
Longuyon,Baroncourt,22321.434
Longuyon,Conflans - Jarny,41378.281
Longuyon,Onville,66120.984
Longuyon,Pont-à-Mousson,83276.531
Longuyon,Nancy,111120.156
Nancy,Étain,88532.844
Verdun,Onville,65353.414
Verdun,Pont-à-Mousson,82506.789
Verdun,Nancy,110350.414
Longuyon,Audun-le-Roman,24837.953
Longuyon,Hayange,40959.156
Longuyon,Thionville,49211.008
Conflans - Jarny,Hatrize,4728.765
Conflans - Jarny,Auboué,10364.853
Hagondange,Gandrange - Amnéville,2880.807
Hagondange,Hatrize,23303.445
Hagondange,Auboué,17664.637
Hagondange,Valleroy - Moineville,20589.502
Metz,Gandrange - Amnéville,21590.881
Metz,Auboué,36374.695
Metz,Valleroy - Moineville,39299.551
Metz,Hatrize,42013.492
Metz,Étain,68492.867
Metz,Verdun,90293.977
Conflans - Jarny,Étain,18824.953
Conflans - Jarny,Verdun,40626.074
Metz,Walygator parc,14438.665
Metz,Onville,20831.57
Lunéville,Mont-sur-Meurthe,4850.606
Lunéville,Blainville - Damelevières,9717.984
Lunéville,Rosières-aux-Salines,15043.17
Lunéville,Dombasle-sur-Meurthe,17127.936
Lunéville,Varangéville - Saint-Nicolas,19792.344
Lunéville,Laneuveville-devant-Nancy,27204.734
Lunéville,Jarville-la-Malgrange,29657.816
Lunéville,Nancy,32774.273
Lunéville,Frouard,40946.563
Lunéville,Liverdun,47813.418
Lunéville,Toul,65788.992
Lunéville,Commercy,91154.852
Lunéville,Bar-le-Duc,131760.203
Bar-le-Duc,Nançois - Tronville,11383.363
Bar-le-Duc,Lérouville,35292.273
Bar-le-Duc,Commercy,40596.102
Bar-le-Duc,Pagny-sur-Meuse,54354.086
Bar-le-Duc,Foug,59174.73
Bar-le-Duc,Toul,65958.648
Bar-le-Duc,Fontenoy-sur-Moselle,74677.961
Bar-le-Duc,Liverdun,83936.07
Bar-le-Duc,Champigneulles,93716.43
Bar-le-Duc,Nancy,98987.938
Bar-le-Duc,Jarville-la-Malgrange,102080.594
Bar-le-Duc,Laneuveville-devant-Nancy,104534.406
Bar-le-Duc,Varangéville - Saint-Nicolas,111945.133
Bar-le-Duc,Dombasle-sur-Meurthe,114612.438
Bar-le-Duc,Rosières-aux-Salines,116697.273
Bar-le-Duc,Blainville - Damelevières,122006.273
Bar-le-Duc,Mont-sur-Meurthe,126860.617
Bar-le-Duc,Lunéville,131711.781
Lunéville,Revigny,147252.469
Bar-le-Duc,Frouard,90813.891
Revigny,Bar-le-Duc,15494.149
Revigny,Commercy,56090.199
Revigny,Toul,81452.672
Revigny,Liverdun,99430.094
Revigny,Frouard,106307.914
Revigny,Nancy,114481.961
Revigny,Jarville-la-Malgrange,117575.445
Revigny,Laneuveville-devant-Nancy,120029.258
Revigny,Varangéville - Saint-Nicolas,127439.984
Revigny,Dombasle-sur-Meurthe,130107.289
Revigny,Rosières-aux-Salines,132192.125
Revigny,Blainville - Damelevières,137501.203
Revigny,Mont-sur-Meurthe,142355.5
Revigny,Lunéville,147205.766
Nancy,Liverdun,15039.145
Nancy,Commercy,58380.633
Nancy,Bar-le-Duc,98975.602
Lunéville,Fontenoy-sur-Moselle,57065.449
Lunéville,Foug,72572.805
Lunéville,Pagny-sur-Meuse,77396.313
Lunéville,Lérouville,96465.82
Lunéville,Nançois - Tronville,120365.305
Lunéville,Vitry-le-François,180353.047
Lunéville,Châlons-en-Champagne,213041.203
Lunéville,Épernay,243999.375
Lunéville,Reims,276018.375
Épernay,Revigny,96751.281
Épernay,Nançois - Tronville,123628.758
Épernay,Lérouville,147537.625
Épernay,Commercy,152841.469
Épernay,Pagny-sur-Meuse,166599.375
Épernay,Foug,171420.031
Épernay,Toul,178203.984
Épernay,Fontenoy-sur-Moselle,186923.281
Épernay,Liverdun,196181.391
Épernay,Frouard,203059.234
Épernay,Nancy,211233.344
Épernay,Jarville-la-Malgrange,214325.953
Épernay,Laneuveville-devant-Nancy,216779.719
Épernay,Varangéville - Saint-Nicolas,224190.422
Épernay,Dombasle-sur-Meurthe,226857.75
Épernay,Rosières-aux-Salines,228942.594
Épernay,Blainville - Damelevières,234251.672
Épernay,Mont-sur-Meurthe,239105.969
Épernay,Lunéville,243956.234
Reims,Épernay,30475.277
Reims,Châlons-en-Champagne,56578.035
Reims,Vitry-le-François,89262.797
Reims,Revigny,127219.836
Reims,Bar-le-Duc,142714.031
Reims,Commercy,183309.25
Reims,Toul,208671.781
Reims,Liverdun,226649.188
Reims,Frouard,233527.031
Reims,Nancy,241701.141
Reims,Jarville-la-Malgrange,244794.609
Reims,Laneuveville-devant-Nancy,247248.375
Reims,Varangéville - Saint-Nicolas,254659.078
Reims,Dombasle-sur-Meurthe,257326.406
Reims,Rosières-aux-Salines,259411.25
Reims,Blainville - Damelevières,264720.313
Reims,Mont-sur-Meurthe,269574.594
Reims,Lunéville,274424.875
Reims,Nançois - Tronville,154097.406
Reims,Lérouville,178006.25
Reims,Pagny-sur-Meuse,197068.031
Reims,Foug,201888.688
Reims,Fontenoy-sur-Moselle,217391.938
Nancy,Revigny,114467.813
Nancy,Vitry-le-François,147568.406
Nancy,Châlons-en-Champagne,180256.563
Nancy,Épernay,211214.734
Nancy,Fontenoy-sur-Moselle,24291.188
Nancy,Foug,39798.531
Nancy,Pagny-sur-Meuse,44622.039
Nancy,Lérouville,63691.586
Nancy,Nançois - Tronville,87591.078
Metz,Lérouville,64896.707
Metz,Bar-le-Duc,100180.703
Metz,Vitry-le-François,148773.516
Metz,Châlons-en-Champagne,181461.672
Metz,Épernay,212419.844
Metz,Revigny,115672.914
Épernay,Onville,191575.703
Épernay,Metz,212458.297
Bar-le-Duc,Onville,79330.422
Bar-le-Duc,Metz,100212.969
Toul,Liverdun,17979.219
Toul,Frouard,24857.053
Toul,Nancy,33031.105
Toul,Varangéville - Saint-Nicolas,45989.094
Toul,Dombasle-sur-Meurthe,48656.41
Toul,Rosières-aux-Salines,50741.223
Toul,Blainville - Damelevières,56050.25
Toul,Lunéville,65754.867
Lunéville,Champigneulles,38042.32
Épinal,Thaon,7661.569
Épinal,Igney,10908.41
Épinal,Châtel - Nomexy,15109.711
Épinal,Vincey,20858.793
Épinal,Charmes,25631.207
Épinal,Bayon,36032.898
Épinal,Einvaux,43501.844
Épinal,Nancy,74036.453
Épinal,Frouard,82214.758
Épinal,Pompey,84578.281
Épinal,Marbache,88545.844
Épinal,Dieulouard,95194.672
Épinal,Pont-à-Mousson,101877.406
Épinal,Pagny-sur-Moselle,111715.047
Épinal,Novéant-sur-Moselle,117039.523
Épinal,Ancy-sur-Moselle,120354.328
Épinal,Ars-sur-Moselle,122620.633
Épinal,Metz,131051.563
Metz,Einvaux,87634.211
Metz,Bayon,95104.695
Metz,Charmes,105500.633
Metz,Vincey,110273.625
Metz,Châtel - Nomexy,116022.406
Metz,Igney,120225.305
Metz,Thaon,123523.945
Metz,Épinal,131133.125
Épinal,Champigneulles,79308.25
Nancy,Einvaux,31527.984
